AbandHabit,AbandHabit
Acces,Acces
AnimAct,AnimAct
AnimBone,AnimBone
ArtComm,ArtComm
ArtRange,ArtRange
BatGuano,BatGuano
Beads,Beads
BuddStruct,Buddstruct
Cave,Cave
Cave_Fl,Cave_Fl
CaveMoist,CaveMoist
CeramProd,CeramProd
CommFor,CommFor
CondComm,CondComm
CopperArt,CopperArt
CordEarth,CordEarth
Crops,Crops
CurrHabit,CurrHabit
CvMthDir,CvMthDir
CvMthHt,CvMthHt
DecEarth,DecEarth
DimenA,DimenA
DimenB,DimenB
DistComm,DistComm
DrySwidden,DrySwidden
Entered_By,Entered_By
Env_Contxt,Env_Contxt
EnvComm,EnvComm
Erosion,Erosion
EstDepth,EstDepth
Exc_Pri,Exc_Pri
Fauna,Fauna
Features,Features
FloodRec,FloodRec
FullPolish,FullPolish
Garden,Garden
GenView,GenView
Grasslnd,Grasslnd
Hist_Rel,Hist_Rel
Hist_Vill,Hist_Vill
HistOcc,HistOcc
HumanBone,HumanBone
ImageComm,ImageComm
IndPlant,IndPlant
Initial_Date,Initial_Da
IronArt,IronArt
Jar_Site,Jar_Site
Last_Modified,Last_Modif
LogCoffin,LogCoffin
Looting,Looting
MainFeat,MainFeat
Mean_Gall,Mean_Gall
Megalith,Megalith
MetalProd,MetalProd
MiscBone,MiscBone
MortCrem,MortCrem
MortInter,Mortinter
Mound,Mound
NatFor,NatFor
NatVeg,NatVeg
NonBuddh,NonBuddh
NrPrimRv,NrPrimRv
NrSecRv,NrSecRv
OpenAir,OpenAir
Orchards,Orchards
Ordnance,Ordnance
Oth_Art,Oth_Art
OtherHort,OtherHort
Panorama,Panorama
PartPolish,PartPolish
PastFComm,PastFComm
PeckPolish,PeckPolish
Photo,Photo
PlainEarth,PlainEarth
Platform,Platform
Point_X,Point_X
Point_Y,Point_Y
PrehistHab,PrehistHab
Quarry,Quarry
Religious,Religious
RivCobSite,RivCobSite
River_Team,River_Team
Riverbank,Riverbank
Rockshelt,Rockshelt
Site_Comm,Site_Comm
Site_Date,Site_Date
Site_Name,Site_Name
Site_Short,Site_Short
SiteDesc,SiteDesc
SiteID,SiteID
Speleo,Speleo
SpelPhoto,SpelPhoto
STCore,STCore
STFlakes,STFlakes
Strat,Strat
STtoolWork,STtoolWork
STware,STWare
Surf_Scat,Surf_Scat
SurfHabit,SurfHabit
Talus,Talus
Time_Spent,Time_Spent
UTM_X,UTM_X
UTM_Y,UTM_Y
UXO,UXO
UXOCl,UXOCl
Vill_Name,Vill_Name
Visit_Comm,Visit_Comm
WetRice,WetRice
WldEdPl,WldEdPl
preform,Preform
alternative,Alternative
kiln_site,Kiln_Site
province,Province
country,Country
district,District
